Date,Open,High,Low,Close,Adj Close,Volume
2011-09-30,33.908401,36.150600,33.278999,35.953899,32.922550,3867568
2011-10-31,35.639198,38.550098,32.256199,33.868999,31.013432,5765019
2011-11-30,34.616501,35.363800,30.761400,34.105099,31.229624,4807399
2011-12-31,34.380402,35.835899,31.744900,34.105099,31.229624,10643969
2012-01-31,34.223099,39.533600,33.357700,37.212700,34.075218,13538364
2012-02-29,37.212700,39.612202,35.403198,38.156799,34.939720,12041274
2012-03-31,37.842098,40.123600,37.015999,38.314098,35.083752,4945549
2012-04-30,38.471500,38.943501,35.049198,35.717899,32.706448,5841949
2012-05-31,36.819302,41.657700,35.599899,40.988998,37.533131,14481563
2012-06-30,40.988998,43.073898,40.202301,40.831699,37.389095,7771576
2012-07-31,40.752998,46.024101,38.550098,40.634998,37.208973,7897092
2012-08-31,40.241600,43.034500,39.179501,41.342999,38.819118,7981283
2012-09-30,41.657700,47.204300,37.369999,44.647400,41.921787,12154093
2012-10-31,44.844002,49.909100,43.818199,47.272701,44.386822,29469167
2012-11-30,47.454601,55.181801,42.454601,50.772701,47.673153,18505827
2012-12-31,51.181801,57.500000,50.909100,56.227299,52.794769,15568269
2013-01-31,56.227299,58.727299,49.181801,50.090900,47.032978,11270068
2013-02-28,50.909100,52.681801,46.363602,47.772701,44.856300,3729031
2013-03-31,51.363602,52.818199,45.636398,49.727299,46.691578,4465451
2013-04-30,49.727299,53.045399,48.136398,50.363602,47.289028,5866987
2013-05-31,50.227299,52.636398,48.318199,50.181801,48.030029,4974679
2013-06-30,50.181801,50.909100,41.045399,42.909100,41.069176,6761517
2013-07-31,43.181801,43.727299,36.045399,36.227299,34.673889,5577474
2013-08-31,36.363602,41.090900,34.363602,38.545502,36.892689,6781130
2013-09-30,38.636398,45.227299,38.500000,43.636398,41.765293,10244260
2013-10-31,44.454601,47.136398,42.090900,44.727299,42.809410,10626945
2013-11-30,45.454601,47.272701,43.363602,47.000000,44.984661,11152322
2013-12-31,47.227299,47.272701,43.909100,44.454601,42.548409,7412745
2014-01-31,44.636398,45.090900,41.500000,42.136398,40.329609,4131385
2014-02-28,42.090900,49.272701,41.727299,48.954498,46.855354,11257165
2014-03-31,49.090900,54.181801,46.136398,53.227299,50.944935,13697749
2014-04-30,53.227299,68.545403,52.636398,61.954601,59.298012,26794466
2014-05-31,62.181801,71.681801,62.181801,68.227303,65.301743,19871335
2014-06-30,70.454597,75.045403,66.409103,66.954597,64.083618,16004631
2014-07-31,66.500000,72.636398,64.181801,70.045403,67.041885,9539746
2014-08-31,70.045403,79.681801,68.727303,78.090897,75.902832,15829859
2014-09-30,77.909103,80.818199,73.181801,77.090897,74.930847,13411465
2014-10-31,77.090897,88.545403,73.454597,84.454597,82.088226,15911834
2014-11-30,84.909103,88.545403,77.454597,85.590897,83.192688,14108707
2014-12-31,85.136398,91.136398,84.090897,84.863602,82.485771,18016494
2015-01-31,85.000000,92.181801,81.818199,90.636398,88.096817,14265155
2015-02-28,90.454597,93.090897,85.045403,88.090897,85.622635,33171512
2015-03-31,88.500000,90.727303,83.409103,85.818199,83.413612,11088083
2015-04-30,85.818199,94.545403,85.590897,93.409103,90.791824,9995449
2015-05-31,92.954597,95.954597,87.863602,91.772697,89.201271,14680909
2015-06-30,91.909103,94.818199,88.818199,91.909103,89.333862,12463247
2015-07-31,91.545403,92.545403,81.818199,87.136398,84.694885,9540750
2015-08-31,85.590897,87.636398,77.590897,83.590897,82.256622,17749180
2015-09-30,83.636398,84.045403,77.727303,81.727303,80.422783,10273086
2015-10-31,81.363602,82.272697,76.818199,77.954597,76.710289,12152509
2015-11-30,78.136398,85.363602,77.272697,83.772697,82.435532,9836688
2015-12-31,83.681801,84.363602,70.727303,72.727303,71.566444,8486961
2016-01-31,74.000000,81.272697,72.363602,76.727303,75.502586,15188639
2016-02-29,77.090897,86.545403,76.363602,86.181801,84.806175,10051352
2016-03-31,85.727303,90.000000,84.409103,85.363602,85.055244,8857943
2016-04-30,85.045403,98.181801,84.727303,96.863602,96.513702,10714381
2016-05-31,97.272697,108.544998,94.045403,105.818001,105.435753,9968066
2016-06-30,106.773003,119.091003,106.455002,118.044998,117.618584,9352812
2016-07-31,118.955002,124.000000,112.091003,119.726997,119.294510,8190293
2016-08-31,120.181999,134.455002,116.544998,120.091003,119.858871,11020245
2016-09-30,119.636002,136.363998,119.591003,135.591003,135.328903,19695314
2016-10-31,135.544998,139.091003,116.363998,122.455002,122.218300,24400430
2016-11-30,123.363998,128.091003,115.544998,117.408997,117.182045,11035912
2016-12-31,118.318001,140.908997,116.544998,136.408997,136.145325,9275405
2017-01-31,136.272995,153.182007,130.908997,131.182007,130.928436,16644296
2017-02-28,132.272995,138.772995,124.091003,137.817993,137.551590,17920726
2017-03-31,137.272995,150.727005,133.591003,149.817993,149.528397,14610914
2017-04-30,149.817993,167.272995,147.044998,155.591003,155.290253,15113774
2017-05-31,154.182007,186.044998,154.091003,160.772995,160.462219,12895257
2017-06-30,162.227005,180.000000,157.500000,176.350006,176.009125,10121235
2017-07-31,176.000000,178.500000,149.000000,158.899994,158.592850,9188218
2017-08-31,158.600006,174.199997,147.000000,162.300003,162.300003,11460136
